Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/4/2024 15:00,821,207,467,147
1/4/2024 16:00,741,298,329,114
1/4/2024 17:00,776,363,278,135
1/4/2024 18:00,1260,659,419,182
1/4/2024 19:00,973,381,410,182
1/4/2024 20:00,929,429,316,184
1/4/2024 21:00,1812,509,1119,184
1/4/2024 22:00,715,159,372,184
1/4/2024 23:00,959,463,311,185
1/5/2024 0:00,834,344,303,187
1/5/2024 1:00,694,173,333,188
1/5/2024 2:00,1561,297,1077,187
1/5/2024 3:00,990,360,442,188
1/5/2024 4:00,2081,880,1012,189
1/5/2024 5:00,818,190,441,187
1/5/2024 6:00,739,274,283,182
1/5/2024 7:00,839,396,301,142
1/5/2024 8:00,614,252,250,112
1/5/2024 9:00,739,263,372,104
1/5/2024 10:00,1819,296,330,1193
1/5/2024 11:00,2699,774,471,1454
1/5/2024 12:00,3524,672,1345,1507
1/5/2024 13:00,2672,574,600,1498
1/5/2024 14:00,2280,436,347,1497
1/5/2024 15:00,1853,377,512,964
1/5/2024 16:00,607,216,287,104
1/5/2024 17:00,621,233,261,127
1/5/2024 18:00,873,421,268,184
1/5/2024 19:00,1044,468,392,184
1/5/2024 20:00,647,197,265,185
1/5/2024 21:00,759,234,340,185
1/5/2024 22:00,949,412,353,184
1/5/2024 23:00,826,318,322,186
1/6/2024 0:00,732,196,349,187
1/6/2024 1:00,1226,612,428,186
1/6/2024 2:00,593,81,325,187
1/6/2024 3:00,1148,644,317,187
1/6/2024 4:00,655,81,386,188
1/6/2024 5:00,667,187,294,186
1/6/2024 6:00,826,364,276,186
1/6/2024 7:00,843,322,376,145
1/6/2024 8:00,568,107,346,115
1/6/2024 9:00,631,130,396,105
1/6/2024 10:00,552,108,340,104
1/6/2024 11:00,753,371,276,106
1/6/2024 12:00,478,108,264,106
1/6/2024 13:00,827,460,262,105
1/6/2024 14:00,611,96,409,106
1/6/2024 15:00,1009,452,452,105
1/6/2024 16:00,785,303,377,105
1/6/2024 17:00,1144,714,302,128
1/6/2024 18:00,921,380,358,183
1/6/2024 19:00,849,306,361,182
1/6/2024 20:00,1336,551,591,194
1/6/2024 21:00,969,440,345,184
1/6/2024 22:00,651,186,279,186
1/6/2024 23:00,826,349,291,186
1/7/2024 0:00,914,335,393,186
1/7/2024 1:00,672,201,283,188
1/7/2024 2:00,1139,576,374,189
1/7/2024 3:00,916,354,373,189
