Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/4/2024 15:00,821 W,207 W,467 W,147 W
1/4/2024 16:00,741 W,298 W,329 W,114 W
1/4/2024 17:00,776 W,363 W,278 W,135 W
1/4/2024 18:00,"1,260 W",659 W,419 W,182 W
1/4/2024 19:00,973 W,381 W,410 W,182 W
1/4/2024 20:00,929 W,429 W,316 W,184 W
1/4/2024 21:00,"1,812 W",509 W,"1,119 W",184 W
1/4/2024 22:00,715 W,159 W,372 W,184 W
1/4/2024 23:00,959 W,463 W,311 W,185 W
1/5/2024 0:00,834 W,344 W,303 W,187 W
1/5/2024 1:00,694 W,173 W,333 W,188 W
1/5/2024 2:00,"1,561 W",297 W,"1,077 W",187 W
1/5/2024 3:00,990 W,360 W,442 W,188 W
1/5/2024 4:00,"2,081 W",880 W,"1,012 W",189 W
1/5/2024 5:00,818 W,190 W,441 W,187 W
1/5/2024 6:00,739 W,274 W,283 W,182 W
1/5/2024 7:00,839 W,396 W,301 W,142 W
1/5/2024 8:00,614 W,252 W,250 W,112 W
1/5/2024 9:00,739 W,263 W,372 W,104 W
1/5/2024 10:00,"1,819 W",296 W,330 W,"1,193 W"
1/5/2024 11:00,"2,699 W",774 W,471 W,"1,454 W"
1/5/2024 12:00,"3,524 W",672 W,"1,345 W","1,507 W"
1/5/2024 13:00,"2,672 W",574 W,600 W,"1,498 W"
1/5/2024 14:00,"2,280 W",436 W,347 W,"1,497 W"
1/5/2024 15:00,"1,853 W",377 W,512 W,964 W
1/5/2024 16:00,607 W,216 W,287 W,104 W
1/5/2024 17:00,621 W,233 W,261 W,127 W
1/5/2024 18:00,873 W,421 W,268 W,184 W
1/5/2024 19:00,"1,044 W",468 W,392 W,184 W
1/5/2024 20:00,647 W,197 W,265 W,185 W
1/5/2024 21:00,759 W,234 W,340 W,185 W
1/5/2024 22:00,949 W,412 W,353 W,184 W
1/5/2024 23:00,826 W,318 W,322 W,186 W
1/6/2024 0:00,732 W,196 W,349 W,187 W
1/6/2024 1:00,"1,226 W",612 W,428 W,186 W
1/6/2024 2:00,593 W,81 W,325 W,187 W
1/6/2024 3:00,"1,148 W",644 W,317 W,187 W
1/6/2024 4:00,655 W,81 W,386 W,188 W
1/6/2024 5:00,667 W,187 W,294 W,186 W
1/6/2024 6:00,826 W,364 W,276 W,186 W
1/6/2024 7:00,843 W,322 W,376 W,145 W
1/6/2024 8:00,568 W,107 W,346 W,115 W
1/6/2024 9:00,631 W,130 W,396 W,105 W
1/6/2024 10:00,552 W,108 W,340 W,104 W
1/6/2024 11:00,753 W,371 W,276 W,106 W
1/6/2024 12:00,478 W,108 W,264 W,106 W
1/6/2024 13:00,827 W,460 W,262 W,105 W
1/6/2024 14:00,611 W,96 W,409 W,106 W
1/6/2024 15:00,"1,009 W",452 W,452 W,105 W
1/6/2024 16:00,785 W,303 W,377 W,105 W
1/6/2024 17:00,"1,144 W",714 W,302 W,128 W
1/6/2024 18:00,921 W,380 W,358 W,183 W
1/6/2024 19:00,849 W,306 W,361 W,182 W
1/6/2024 20:00,"1,336 W",551 W,591 W,194 W
1/6/2024 21:00,969 W,440 W,345 W,184 W
1/6/2024 22:00,651 W,186 W,279 W,186 W
1/6/2024 23:00,826 W,349 W,291 W,186 W
1/7/2024 0:00,914 W,335 W,393 W,186 W
1/7/2024 1:00,672 W,201 W,283 W,188 W
1/7/2024 2:00,"1,139 W",576 W,374 W,189 W
1/7/2024 3:00,916 W,354 W,373 W,189 W
1/7/2024 4:00,626 W,80 W,358 W,188 W
1/7/2024 5:00,812 W,230 W,395 W,187 W
1/7/2024 6:00,573 W,77 W,312 W,184 W
1/7/2024 7:00,"1,128 W",495 W,489 W,144 W
1/7/2024 8:00,448 W,72 W,264 W,112 W
1/7/2024 9:00,455 W,73 W,277 W,105 W
1/7/2024 10:00,"1,941 W",799 W,262 W,880 W
1/7/2024 11:00,"1,476 W",485 W,859 W,132 W
1/7/2024 12:00,901 W,220 W,566 W,115 W
1/7/2024 13:00,"2,093 W",563 W,"1,290 W",240 W
1/7/2024 14:00,"2,619 W",931 W,"1,435 W",253 W
1/7/2024 15:00,"2,701 W",813 W,"1,624 W",264 W
1/7/2024 16:00,893 W,491 W,297 W,105 W
1/7/2024 17:00,651 W,222 W,304 W,125 W
1/7/2024 18:00,565 W,71 W,312 W,182 W
1/7/2024 19:00,762 W,228 W,353 W,181 W
1/7/2024 20:00,520 W,63 W,273 W,184 W
1/7/2024 21:00,752 W,218 W,351 W,183 W
1/7/2024 22:00,663 W,186 W,294 W,183 W
1/7/2024 23:00,"1,052 W",504 W,365 W,183 W
1/8/2024 0:00,"1,006 W",309 W,512 W,185 W
1/8/2024 1:00,924 W,411 W,326 W,187 W
1/8/2024 2:00,835 W,315 W,333 W,187 W
1/8/2024 3:00,"1,006 W",367 W,452 W,187 W
1/8/2024 4:00,941 W,375 W,378 W,188 W
1/8/2024 5:00,732 W,201 W,344 W,187 W
1/8/2024 6:00,"1,001 W",470 W,348 W,183 W
1/8/2024 7:00,607 W,180 W,277 W,150 W
1/8/2024 8:00,930 W,407 W,412 W,111 W
1/8/2024 9:00,595 W,103 W,389 W,103 W
1/8/2024 10:00,467 W,106 W,259 W,102 W
1/8/2024 11:00,500 W,74 W,324 W,102 W
1/8/2024 12:00,"1,521 W",110 W,"1,307 W",104 W
1/8/2024 13:00,"1,688 W",346 W,"1,208 W",134 W
1/8/2024 14:00,756 W,251 W,376 W,129 W
1/8/2024 15:00,"1,716 W",965 W,620 W,131 W
1/8/2024 16:00,535 W,138 W,292 W,105 W
1/8/2024 17:00,"1,148 W",576 W,445 W,127 W
1/8/2024 18:00,705 W,168 W,356 W,181 W
1/8/2024 19:00,661 W,68 W,410 W,183 W
1/8/2024 20:00,687 W,245 W,259 W,183 W
1/8/2024 21:00,956 W,414 W,358 W,184 W
1/8/2024 22:00,672 W,112 W,376 W,184 W
1/8/2024 23:00,795 W,78 W,529 W,188 W
1/9/2024 0:00,615 W,113 W,314 W,188 W
1/9/2024 1:00,786 W,225 W,373 W,188 W
1/9/2024 2:00,821 W,341 W,292 W,188 W
1/9/2024 3:00,"1,162 W",510 W,464 W,188 W
1/9/2024 4:00,834 W,358 W,288 W,188 W
1/9/2024 5:00,758 W,213 W,357 W,188 W
