Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/11/2024 10:00,"1,212 W",621 W,85 W,506 W
1/11/2024 11:00,824 W,627 W,87 W,110 W
1/11/2024 12:00,941 W,721 W,87 W,133 W
1/11/2024 13:00,"1,024 W",759 W,88 W,177 W
1/11/2024 14:00,"1,168 W","1,031 W",125 W,12 W
1/11/2024 15:00,"1,104 W",951 W,124 W,29 W
1/11/2024 16:00,716 W,585 W,66 W,65 W
1/11/2024 17:00,606 W,515 W,65 W,26 W
1/11/2024 18:00,230 W,103 W,107 W,20 W
1/11/2024 19:00,218 W,92 W,107 W,19 W
1/11/2024 20:00,182 W,109 W,50 W,23 W
1/11/2024 21:00,169 W,97 W,49 W,23 W
1/11/2024 22:00,182 W,105 W,51 W,26 W
1/11/2024 23:00,177 W,98 W,51 W,28 W
1/12/2024 0:00,175 W,94 W,51 W,30 W
1/12/2024 1:00,171 W,88 W,51 W,32 W
1/12/2024 2:00,171 W,87 W,51 W,33 W
1/12/2024 3:00,174 W,90 W,51 W,33 W
1/12/2024 4:00,173 W,89 W,51 W,33 W
1/12/2024 5:00,171 W,90 W,51 W,30 W
1/12/2024 6:00,120 W,102 W,7 W,11 W
1/12/2024 7:00,127 W,114 W,6 W,7 W
1/12/2024 8:00,268 W,95 W,6 W,167 W
1/12/2024 9:00,95 W,101 W,5 W,-11 W
1/12/2024 10:00,771 W,715 W,66 W,-10 W
1/12/2024 11:00,505 W,449 W,64 W,-8 W
1/12/2024 12:00,131 W,79 W,63 W,-11 W
1/12/2024 13:00,137 W,85 W,63 W,-11 W
1/12/2024 14:00,531 W,477 W,64 W,-10 W
1/12/2024 15:00,527 W,473 W,65 W,-11 W
1/12/2024 16:00,865 W,792 W,66 W,7 W
1/12/2024 17:00,550 W,494 W,65 W,-9 W
1/12/2024 18:00,524 W,469 W,64 W,-9 W
1/12/2024 19:00,887 W,518 W,159 W,210 W
1/12/2024 20:00,196 W,124 W,49 W,23 W
1/12/2024 21:00,185 W,110 W,50 W,25 W
1/12/2024 22:00,192 W,114 W,51 W,27 W
1/12/2024 23:00,191 W,112 W,51 W,28 W
1/13/2024 0:00,187 W,106 W,52 W,29 W
1/13/2024 1:00,188 W,106 W,51 W,31 W
1/13/2024 2:00,184 W,103 W,51 W,30 W
1/13/2024 3:00,177 W,96 W,51 W,30 W
1/13/2024 4:00,184 W,103 W,51 W,30 W
1/13/2024 5:00,188 W,107 W,51 W,30 W
1/13/2024 6:00,133 W,115 W,7 W,11 W
1/13/2024 7:00,141 W,128 W,6 W,7 W
1/13/2024 8:00,311 W,110 W,25 W,176 W
1/13/2024 9:00,587 W,381 W,26 W,180 W
1/13/2024 10:00,816 W,587 W,48 W,181 W
1/13/2024 11:00,122 W,119 W,6 W,-3 W
1/13/2024 12:00,999 W,789 W,32 W,178 W
1/13/2024 13:00,684 W,480 W,30 W,174 W
1/13/2024 14:00,306 W,99 W,29 W,178 W
1/13/2024 15:00,"1,257 W","1,013 W",51 W,193 W
1/13/2024 16:00,"1,250 W","1,019 W",51 W,180 W
1/13/2024 17:00,547 W,498 W,48 W,1 W
1/13/2024 18:00,253 W,144 W,91 W,18 W
1/13/2024 19:00,972 W,622 W,144 W,206 W
1/13/2024 20:00,494 W,140 W,142 W,212 W
1/13/2024 21:00,292 W,125 W,141 W,26 W
1/13/2024 22:00,230 W,103 W,100 W,27 W
1/13/2024 23:00,228 W,101 W,100 W,27 W
1/14/2024 0:00,229 W,100 W,101 W,28 W
1/14/2024 1:00,238 W,106 W,101 W,31 W
1/14/2024 2:00,234 W,103 W,101 W,30 W
1/14/2024 3:00,231 W,101 W,101 W,29 W
1/14/2024 4:00,241 W,109 W,102 W,30 W
1/14/2024 5:00,240 W,112 W,101 W,27 W
1/14/2024 6:00,173 W,107 W,56 W,10 W
1/14/2024 7:00,179 W,117 W,56 W,6 W
1/14/2024 8:00,614 W,394 W,104 W,116 W
1/14/2024 9:00,"1,441 W",558 W,126 W,757 W
1/14/2024 10:00,"1,158 W",688 W,179 W,291 W
1/14/2024 11:00,"1,462 W",553 W,180 W,729 W
1/14/2024 12:00,856 W,304 W,254 W,298 W
1/14/2024 13:00,"1,477 W",565 W,489 W,423 W
1/14/2024 14:00,933 W,236 W,458 W,239 W
1/14/2024 15:00,"1,200 W",765 W,110 W,325 W
1/14/2024 16:00,402 W,143 W,48 W,211 W
1/14/2024 17:00,836 W,509 W,144 W,183 W
1/14/2024 18:00,633 W,496 W,142 W,-5 W
1/14/2024 19:00,"1,361 W","1,020 W",145 W,196 W
1/14/2024 20:00,475 W,144 W,142 W,189 W
1/14/2024 21:00,955 W,623 W,144 W,188 W
1/14/2024 22:00,187 W,123 W,51 W,13 W
1/14/2024 23:00,174 W,109 W,51 W,14 W
1/15/2024 0:00,177 W,111 W,51 W,15 W
1/15/2024 1:00,179 W,109 W,51 W,19 W
1/15/2024 2:00,184 W,115 W,51 W,18 W
1/15/2024 3:00,186 W,115 W,52 W,19 W
1/15/2024 4:00,178 W,108 W,51 W,19 W
1/15/2024 5:00,186 W,118 W,51 W,17 W
1/15/2024 6:00,188 W,124 W,51 W,13 W
1/15/2024 7:00,132 W,119 W,7 W,6 W
1/15/2024 8:00,142 W,130 W,6 W,6 W
1/15/2024 9:00,136 W,124 W,6 W,6 W
1/15/2024 10:00,557 W,486 W,64 W,7 W
1/15/2024 11:00,544 W,455 W,84 W,5 W
1/15/2024 12:00,931 W,825 W,86 W,20 W
1/15/2024 13:00,945 W,840 W,86 W,19 W
1/15/2024 14:00,796 W,506 W,85 W,205 W
1/15/2024 15:00,575 W,485 W,84 W,6 W
1/15/2024 16:00,952 W,861 W,85 W,6 W
1/15/2024 17:00,414 W,142 W,64 W,208 W
1/15/2024 18:00,404 W,128 W,63 W,213 W
1/15/2024 19:00,509 W,122 W,159 W,228 W
1/15/2024 20:00,245 W,122 W,100 W,23 W
1/15/2024 21:00,242 W,118 W,100 W,24 W
1/15/2024 22:00,244 W,117 W,101 W,26 W
1/15/2024 23:00,252 W,121 W,102 W,29 W
1/16/2024 0:00,252 W,120 W,102 W,30 W
1/16/2024 1:00,252 W,119 W,102 W,31 W
1/16/2024 2:00,245 W,112 W,102 W,31 W
1/16/2024 3:00,254 W,117 W,103 W,34 W
1/16/2024 4:00,253 W,117 W,103 W,33 W
1/16/2024 5:00,254 W,122 W,102 W,30 W
1/16/2024 6:00,198 W,128 W,58 W,12 W
1/16/2024 7:00,197 W,131 W,58 W,8 W
1/16/2024 8:00,446 W,134 W,30 W,282 W
1/16/2024 9:00,557 W,201 W,85 W,271 W
1/16/2024 10:00,"1,327 W","1,242 W",53 W,32 W
1/16/2024 11:00,"2,369 W","1,767 W",114 W,488 W
1/16/2024 12:00,843 W,268 W,84 W,491 W
1/16/2024 13:00,"1,163 W",551 W,107 W,505 W
1/16/2024 14:00,"1,328 W","1,078 W",87 W,163 W
1/16/2024 15:00,"1,540 W","1,452 W",34 W,54 W
1/16/2024 16:00,"1,760 W","1,501 W",36 W,223 W
1/16/2024 17:00,622 W,562 W,30 W,30 W
1/16/2024 18:00,688 W,548 W,123 W,17 W
1/16/2024 19:00,509 W,170 W,140 W,199 W
1/16/2024 20:00,478 W,140 W,140 W,198 W
1/16/2024 21:00,240 W,163 W,50 W,27 W
1/16/2024 22:00,243 W,164 W,50 W,29 W
1/16/2024 23:00,242 W,161 W,51 W,30 W
1/17/2024 0:00,237 W,155 W,51 W,31 W
1/17/2024 1:00,245 W,159 W,52 W,34 W
1/17/2024 2:00,239 W,155 W,51 W,33 W
1/17/2024 3:00,247 W,161 W,52 W,34 W
1/17/2024 4:00,243 W,158 W,51 W,34 W
1/17/2024 5:00,241 W,157 W,51 W,33 W
1/17/2024 6:00,190 W,169 W,7 W,14 W
1/17/2024 7:00,181 W,164 W,7 W,10 W
1/17/2024 8:00,413 W,179 W,45 W,189 W
1/17/2024 9:00,866 W,180 W,47 W,639 W
1/17/2024 10:00,"2,103 W",983 W,801 W,319 W
1/17/2024 11:00,"1,296 W","1,020 W",82 W,194 W
1/17/2024 12:00,421 W,187 W,56 W,178 W
1/17/2024 13:00,"1,675 W",616 W,868 W,191 W
1/17/2024 14:00,"1,418 W",480 W,916 W,22 W
1/17/2024 15:00,"2,395 W",721 W,893 W,781 W
1/17/2024 16:00,"1,005 W",869 W,79 W,57 W
1/17/2024 17:00,789 W,537 W,59 W,193 W
1/17/2024 18:00,742 W,502 W,59 W,181 W
1/17/2024 19:00,495 W,143 W,152 W,200 W
1/17/2024 20:00,463 W,111 W,152 W,200 W
1/17/2024 21:00,233 W,99 W,111 W,23 W
1/17/2024 22:00,224 W,89 W,112 W,23 W
1/17/2024 23:00,232 W,93 W,113 W,26 W
1/18/2024 0:00,232 W,90 W,114 W,28 W
1/18/2024 1:00,241 W,97 W,115 W,29 W
1/18/2024 2:00,245 W,99 W,116 W,30 W
1/18/2024 3:00,234 W,90 W,115 W,29 W
1/18/2024 4:00,244 W,97 W,116 W,31 W
1/18/2024 5:00,243 W,101 W,114 W,28 W
1/18/2024 6:00,171 W,92 W,69 W,10 W
1/18/2024 7:00,179 W,105 W,67 W,7 W
1/18/2024 8:00,467 W,153 W,130 W,184 W
1/18/2024 9:00,972 W,213 W,130 W,629 W
1/18/2024 10:00,"1,452 W",898 W,151 W,403 W
1/18/2024 11:00,902 W,598 W,155 W,149 W
1/18/2024 12:00,"1,028 W",274 W,131 W,623 W
1/18/2024 13:00,"1,695 W",516 W,139 W,"1,040 W"
1/18/2024 14:00,"1,158 W",232 W,151 W,775 W
1/18/2024 15:00,"2,301 W",809 W,876 W,616 W
1/18/2024 16:00,"1,831 W",562 W,868 W,401 W
1/18/2024 17:00,"1,454 W",525 W,885 W,44 W
1/18/2024 18:00,824 W,484 W,108 W,232 W
1/18/2024 19:00,510 W,155 W,157 W,198 W
1/18/2024 20:00,507 W,142 W,158 W,207 W
1/18/2024 21:00,248 W,128 W,100 W,20 W
1/18/2024 22:00,247 W,125 W,100 W,22 W
1/18/2024 23:00,249 W,126 W,101 W,22 W
1/19/2024 0:00,249 W,126 W,101 W,22 W
1/19/2024 1:00,248 W,126 W,101 W,21 W
1/19/2024 2:00,252 W,129 W,102 W,21 W
1/19/2024 3:00,247 W,124 W,102 W,21 W
1/19/2024 4:00,250 W,128 W,101 W,21 W
1/19/2024 5:00,263 W,137 W,102 W,24 W
1/19/2024 6:00,193 W,130 W,57 W,6 W
1/19/2024 7:00,196 W,135 W,57 W,4 W
1/19/2024 8:00,430 W,154 W,105 W,171 W
1/19/2024 9:00,817 W,552 W,104 W,161 W
1/19/2024 10:00,"1,337 W",897 W,125 W,315 W
1/19/2024 11:00,422 W,284 W,122 W,16 W
1/19/2024 12:00,411 W,248 W,155 W,8 W
1/19/2024 13:00,601 W,264 W,115 W,222 W
1/19/2024 14:00,385 W,251 W,114 W,20 W
