Time,TOD,Hour,Day,Total (W),Phase_A (W),Phase_B (W),Phase_C (W),Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Holiday
2024-01-10 09:00:00,09:00:00,9,Wednesday,10951.0,1578.0,806.0,8567.0,False,False,False,False,False,False,True,False
2024-01-10 10:00:00,10:00:00,10,Wednesday,8905.0,1301.0,2208.0,5396.0,False,False,False,False,False,False,True,False
2024-01-10 11:00:00,11:00:00,11,Wednesday,7528.0,715.0,1892.0,4921.0,False,False,False,False,False,False,True,False
2024-01-10 12:00:00,12:00:00,12,Wednesday,4216.0,927.0,863.0,2426.0,False,False,False,False,False,False,True,False
2024-01-10 13:00:00,13:00:00,13,Wednesday,4097.0,694.0,1039.0,2364.0,False,False,False,False,False,False,True,False
2024-01-10 14:00:00,14:00:00,14,Wednesday,3058.0,303.0,475.0,2280.0,False,False,False,False,False,False,True,False
2024-01-10 15:00:00,15:00:00,15,Wednesday,3007.0,385.0,401.0,2221.0,False,False,False,False,False,False,True,False
2024-01-10 16:00:00,16:00:00,16,Wednesday,2865.0,381.0,306.0,2178.0,False,False,False,False,False,False,True,False
2024-01-10 17:00:00,17:00:00,17,Wednesday,1111.0,346.0,339.0,426.0,False,False,False,False,False,False,True,False
2024-01-10 18:00:00,18:00:00,18,Wednesday,2296.0,338.0,313.0,1645.0,False,False,False,False,False,False,True,False
2024-01-10 19:00:00,19:00:00,19,Wednesday,2185.0,256.0,291.0,1638.0,False,False,False,False,False,False,True,False
2024-01-10 20:00:00,20:00:00,20,Wednesday,3657.0,249.0,287.0,3121.0,False,False,False,False,False,False,True,False
2024-01-10 21:00:00,21:00:00,21,Wednesday,3738.0,264.0,354.0,3120.0,False,False,False,False,False,False,True,False
2024-01-10 22:00:00,22:00:00,22,Wednesday,1127.0,265.0,349.0,513.0,False,False,False,False,False,False,True,False
2024-01-10 23:00:00,23:00:00,23,Wednesday,1171.0,276.0,374.0,521.0,False,False,False,False,False,False,True,False
2024-01-11 00:00:00,00:00:00,0,Thursday,1161.0,278.0,336.0,547.0,False,False,False,False,True,False,False,False
2024-01-11 01:00:00,01:00:00,1,Thursday,1204.0,297.0,339.0,568.0,False,False,False,False,True,False,False,False
2024-01-11 02:00:00,02:00:00,2,Thursday,1219.0,303.0,346.0,570.0,False,False,False,False,True,False,False,False
2024-01-11 03:00:00,03:00:00,3,Thursday,1233.0,305.0,361.0,567.0,False,False,False,False,True,False,False,False
2024-01-11 04:00:00,04:00:00,4,Thursday,1277.0,312.0,401.0,564.0,False,False,False,False,True,False,False,False
2024-01-11 05:00:00,05:00:00,5,Thursday,1227.0,296.0,362.0,569.0,False,False,False,False,True,False,False,False
2024-01-11 06:00:00,06:00:00,6,Thursday,3488.0,287.0,453.0,2748.0,False,False,False,False,True,False,False,False
2024-01-11 07:00:00,07:00:00,7,Thursday,2036.0,257.0,344.0,1435.0,False,False,False,False,True,False,False,False
2024-01-11 08:00:00,08:00:00,8,Thursday,5732.0,254.0,589.0,4889.0,False,False,False,False,True,False,False,False
2024-01-11 09:00:00,09:00:00,9,Thursday,4146.0,255.0,317.0,3574.0,False,False,False,False,True,False,False,False
2024-01-11 10:00:00,10:00:00,10,Thursday,3296.0,544.0,929.0,1823.0,False,False,False,False,True,False,False,False
2024-01-11 11:00:00,11:00:00,11,Thursday,4150.0,603.0,587.0,2960.0,False,False,False,False,True,False,False,False
2024-01-11 12:00:00,12:00:00,12,Thursday,4037.0,530.0,620.0,2887.0,False,False,False,False,True,False,False,False
2024-01-11 13:00:00,13:00:00,13,Thursday,1956.0,501.0,603.0,852.0,False,False,False,False,True,False,False,False
2024-01-11 14:00:00,14:00:00,14,Thursday,1706.0,317.0,577.0,812.0,False,False,False,False,True,False,False,False
2024-01-11 15:00:00,15:00:00,15,Thursday,1460.0,318.0,303.0,839.0,False,False,False,False,True,False,False,False
2024-01-11 16:00:00,16:00:00,16,Thursday,1103.0,314.0,304.0,485.0,False,False,False,False,True,False,False,False
2024-01-11 17:00:00,17:00:00,17,Thursday,1671.0,280.0,350.0,1041.0,False,False,False,False,True,False,False,False
2024-01-11 18:00:00,18:00:00,18,Thursday,1840.0,267.0,332.0,1241.0,False,False,False,False,True,False,False,False
2024-01-11 19:00:00,19:00:00,19,Thursday,1912.0,285.0,308.0,1319.0,False,False,False,False,True,False,False,False
2024-01-11 20:00:00,20:00:00,20,Thursday,3889.0,291.0,310.0,3288.0,False,False,False,False,True,False,False,False
2024-01-11 21:00:00,21:00:00,21,Thursday,1101.0,294.0,306.0,501.0,False,False,False,False,True,False,False,False
2024-01-11 22:00:00,22:00:00,22,Thursday,1118.0,294.0,326.0,498.0,False,False,False,False,True,False,False,False
2024-01-11 23:00:00,23:00:00,23,Thursday,1162.0,306.0,354.0,502.0,False,False,False,False,True,False,False,False
2024-01-12 00:00:00,00:00:00,0,Friday,1167.0,310.0,352.0,505.0,True,False,False,False,False,False,False,True
2024-01-12 01:00:00,01:00:00,1,Friday,1308.0,324.0,437.0,547.0,True,False,False,False,False,False,False,True
2024-01-12 02:00:00,02:00:00,2,Friday,1300.0,341.0,412.0,547.0,True,False,False,False,False,False,False,True
2024-01-12 03:00:00,03:00:00,3,Friday,1291.0,341.0,401.0,549.0,True,False,False,False,False,False,False,True
2024-01-12 04:00:00,04:00:00,4,Friday,1298.0,340.0,404.0,554.0,True,False,False,False,False,False,False,True
2024-01-12 05:00:00,05:00:00,5,Friday,1255.0,315.0,395.0,545.0,True,False,False,False,False,False,False,True
2024-01-12 06:00:00,06:00:00,6,Friday,6527.0,324.0,484.0,5719.0,True,False,False,False,False,False,False,True
2024-01-12 07:00:00,07:00:00,7,Friday,5289.0,286.0,328.0,4675.0,True,False,False,False,False,False,False,True
2024-01-12 08:00:00,08:00:00,8,Friday,5260.0,279.0,298.0,4683.0,True,False,False,False,False,False,False,True
2024-01-12 09:00:00,09:00:00,9,Friday,3492.0,275.0,331.0,2886.0,True,False,False,False,False,False,False,True
2024-01-12 10:00:00,10:00:00,10,Friday,3488.0,278.0,329.0,2881.0,True,False,False,False,False,False,False,True
2024-01-12 11:00:00,11:00:00,11,Friday,3494.0,282.0,328.0,2884.0,True,False,False,False,False,False,False,True
2024-01-12 12:00:00,12:00:00,12,Friday,3485.0,292.0,307.0,2886.0,True,False,False,False,False,False,False,True
2024-01-12 13:00:00,13:00:00,13,Friday,3490.0,292.0,307.0,2891.0,True,False,False,False,False,False,False,True
2024-01-12 14:00:00,14:00:00,14,Friday,2123.0,284.0,299.0,1540.0,True,False,False,False,False,False,False,True
2024-01-12 15:00:00,15:00:00,15,Friday,2034.0,287.0,347.0,1400.0,True,False,False,False,False,False,False,True
2024-01-12 16:00:00,16:00:00,16,Friday,2009.0,281.0,269.0,1459.0,True,False,False,False,False,False,False,True
2024-01-12 17:00:00,17:00:00,17,Friday,1949.0,261.0,248.0,1440.0,True,False,False,False,False,False,False,True
2024-01-12 18:00:00,18:00:00,18,Friday,2106.0,263.0,233.0,1610.0,True,False,False,False,False,False,False,True
2024-01-12 19:00:00,19:00:00,19,Friday,1758.0,267.0,207.0,1284.0,True,False,False,False,False,False,False,True
2024-01-12 20:00:00,20:00:00,20,Friday,1753.0,263.0,204.0,1286.0,True,False,False,False,False,False,False,True
2024-01-12 21:00:00,21:00:00,21,Friday,1783.0,276.0,223.0,1284.0,True,False,False,False,False,False,False,True
2024-01-12 22:00:00,22:00:00,22,Friday,1063.0,279.0,255.0,529.0,True,False,False,False,False,False,False,True
2024-01-12 23:00:00,23:00:00,23,Friday,1054.0,280.0,244.0,530.0,True,False,False,False,False,False,False,True
2024-01-13 00:00:00,00:00:00,0,Saturday,1083.0,287.0,259.0,537.0,False,False,True,False,False,False,False,True
2024-01-13 01:00:00,01:00:00,1,Saturday,1082.0,290.0,257.0,535.0,False,False,True,False,False,False,False,True
2024-01-13 02:00:00,02:00:00,2,Saturday,1086.0,289.0,253.0,544.0,False,False,True,False,False,False,False,True
2024-01-13 03:00:00,03:00:00,3,Saturday,1087.0,292.0,257.0,538.0,False,False,True,False,False,False,False,True
2024-01-13 04:00:00,04:00:00,4,Saturday,1080.0,289.0,253.0,538.0,False,False,True,False,False,False,False,True
2024-01-13 05:00:00,05:00:00,5,Saturday,1110.0,287.0,280.0,543.0,False,False,True,False,False,False,False,True
2024-01-13 06:00:00,06:00:00,6,Saturday,2763.0,298.0,329.0,2136.0,False,False,True,False,False,False,False,True
2024-01-13 07:00:00,07:00:00,7,Saturday,1566.0,266.0,223.0,1077.0,False,False,True,False,False,False,False,True
2024-01-13 08:00:00,08:00:00,8,Saturday,1566.0,263.0,241.0,1062.0,False,False,True,False,False,False,False,True
2024-01-13 09:00:00,09:00:00,9,Saturday,1580.0,269.0,243.0,1068.0,False,False,True,False,False,False,False,True
2024-01-13 10:00:00,10:00:00,10,Saturday,1596.0,277.0,248.0,1071.0,False,False,True,False,False,False,False,True
2024-01-13 11:00:00,11:00:00,11,Saturday,1763.0,284.0,252.0,1227.0,False,False,True,False,False,False,False,True
2024-01-13 12:00:00,12:00:00,12,Saturday,1794.0,606.0,321.0,867.0,False,False,True,False,False,False,False,True
2024-01-13 13:00:00,13:00:00,13,Saturday,3077.0,482.0,346.0,2249.0,False,False,True,False,False,False,False,True
2024-01-13 14:00:00,14:00:00,14,Saturday,2819.0,317.0,292.0,2210.0,False,False,True,False,False,False,False,True
2024-01-13 15:00:00,15:00:00,15,Saturday,4408.0,298.0,266.0,3844.0,False,False,True,False,False,False,False,True
2024-01-13 16:00:00,16:00:00,16,Saturday,3653.0,293.0,251.0,3109.0,False,False,True,False,False,False,False,True
2024-01-13 17:00:00,17:00:00,17,Saturday,3718.0,290.0,221.0,3207.0,False,False,True,False,False,False,False,True
2024-01-13 18:00:00,18:00:00,18,Saturday,3904.0,275.0,212.0,3417.0,False,False,True,False,False,False,False,True
2024-01-13 19:00:00,19:00:00,19,Saturday,3898.0,279.0,210.0,3409.0,False,False,True,False,False,False,False,True
2024-01-13 20:00:00,20:00:00,20,Saturday,1791.0,284.0,211.0,1296.0,False,False,True,False,False,False,False,True
2024-01-13 21:00:00,21:00:00,21,Saturday,1065.0,287.0,238.0,540.0,False,False,True,False,False,False,False,True
2024-01-13 22:00:00,22:00:00,22,Saturday,1056.0,291.0,224.0,541.0,False,False,True,False,False,False,False,True
2024-01-13 23:00:00,23:00:00,23,Saturday,1083.0,295.0,246.0,542.0,False,False,True,False,False,False,False,True
2024-01-14 00:00:00,00:00:00,0,Sunday,1102.0,296.0,246.0,560.0,False,False,False,True,False,False,False,False
2024-01-14 01:00:00,01:00:00,1,Sunday,1099.0,301.0,252.0,546.0,False,False,False,True,False,False,False,False
