Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/10 9:00:00,"10,951 W","1,578 W",806 W,"8,567 W"
2024/1/10 10:00:00,"8,905 W","1,301 W","2,208 W","5,396 W"
2024/1/10 11:00:00,"7,528 W",715 W,"1,892 W","4,921 W"
2024/1/10 12:00:00,"4,216 W",927 W,863 W,"2,426 W"
2024/1/10 13:00:00,"4,097 W",694 W,"1,039 W","2,364 W"
2024/1/10 14:00:00,"3,058 W",303 W,475 W,"2,280 W"
2024/1/10 15:00:00,"3,007 W",385 W,401 W,"2,221 W"
2024/1/10 16:00:00,"2,865 W",381 W,306 W,"2,178 W"
2024/1/10 17:00:00,"1,111 W",346 W,339 W,426 W
2024/1/10 18:00:00,"2,296 W",338 W,313 W,"1,645 W"
2024/1/10 19:00:00,"2,185 W",256 W,291 W,"1,638 W"
2024/1/10 20:00:00,"3,657 W",249 W,287 W,"3,121 W"
2024/1/10 21:00:00,"3,738 W",264 W,354 W,"3,120 W"
2024/1/10 22:00:00,"1,127 W",265 W,349 W,513 W
2024/1/10 23:00:00,"1,171 W",276 W,374 W,521 W
2024/1/11 0:00:00,"1,161 W",278 W,336 W,547 W
2024/1/11 1:00:00,"1,204 W",297 W,339 W,568 W
2024/1/11 2:00:00,"1,219 W",303 W,346 W,570 W
2024/1/11 3:00:00,"1,233 W",305 W,361 W,567 W
2024/1/11 4:00:00,"1,277 W",312 W,401 W,564 W
2024/1/11 5:00:00,"1,227 W",296 W,362 W,569 W
2024/1/11 6:00:00,"3,488 W",287 W,453 W,"2,748 W"
2024/1/11 7:00:00,"2,036 W",257 W,344 W,"1,435 W"
2024/1/11 8:00:00,"5,732 W",254 W,589 W,"4,889 W"
2024/1/11 9:00:00,"4,146 W",255 W,317 W,"3,574 W"
2024/1/11 10:00:00,"3,296 W",544 W,929 W,"1,823 W"
2024/1/11 11:00:00,"4,150 W",603 W,587 W,"2,960 W"
2024/1/11 12:00:00,"4,037 W",530 W,620 W,"2,887 W"
2024/1/11 13:00:00,"1,956 W",501 W,603 W,852 W
2024/1/11 14:00:00,"1,706 W",317 W,577 W,812 W
2024/1/11 15:00:00,"1,460 W",318 W,303 W,839 W
2024/1/11 16:00:00,"1,103 W",314 W,304 W,485 W
2024/1/11 17:00:00,"1,671 W",280 W,350 W,"1,041 W"
2024/1/11 18:00:00,"1,840 W",267 W,332 W,"1,241 W"
2024/1/11 19:00:00,"1,912 W",285 W,308 W,"1,319 W"
2024/1/11 20:00:00,"3,889 W",291 W,310 W,"3,288 W"
2024/1/11 21:00:00,"1,101 W",294 W,306 W,501 W
2024/1/11 22:00:00,"1,118 W",294 W,326 W,498 W
2024/1/11 23:00:00,"1,162 W",306 W,354 W,502 W
2024/1/12 0:00:00,"1,167 W",310 W,352 W,505 W
2024/1/12 1:00:00,"1,308 W",324 W,437 W,547 W
2024/1/12 2:00:00,"1,300 W",341 W,412 W,547 W
2024/1/12 3:00:00,"1,291 W",341 W,401 W,549 W
2024/1/12 4:00:00,"1,298 W",340 W,404 W,554 W
2024/1/12 5:00:00,"1,255 W",315 W,395 W,545 W
2024/1/12 6:00:00,"6,527 W",324 W,484 W,"5,719 W"
2024/1/12 7:00:00,"5,289 W",286 W,328 W,"4,675 W"
2024/1/12 8:00:00,"5,260 W",279 W,298 W,"4,683 W"
2024/1/12 9:00:00,"3,492 W",275 W,331 W,"2,886 W"
2024/1/12 10:00:00,"3,488 W",278 W,329 W,"2,881 W"
2024/1/12 11:00:00,"3,494 W",282 W,328 W,"2,884 W"
2024/1/12 12:00:00,"3,485 W",292 W,307 W,"2,886 W"
2024/1/12 13:00:00,"3,490 W",292 W,307 W,"2,891 W"
2024/1/12 14:00:00,"2,123 W",284 W,299 W,"1,540 W"
2024/1/12 15:00:00,"2,034 W",287 W,347 W,"1,400 W"
2024/1/12 16:00:00,"2,009 W",281 W,269 W,"1,459 W"
2024/1/12 17:00:00,"1,949 W",261 W,248 W,"1,440 W"
2024/1/12 18:00:00,"2,106 W",263 W,233 W,"1,610 W"
2024/1/12 19:00:00,"1,758 W",267 W,207 W,"1,284 W"
2024/1/12 20:00:00,"1,753 W",263 W,204 W,"1,286 W"
