Time,TOD,Hour,Day,Total (W),Phase_A (W),Phase_B (W),Phase_C (W),Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Holiday
2024-01-07 12:00:00,12:00:00,12,Sunday,-20.0,72.0,-55.0,-37.0,False,False,False,True,False,False,False,False
2024-01-07 13:00:00,13:00:00,13,Sunday,666.0,285.0,31.0,350.0,False,False,False,True,False,False,False,False
2024-01-07 14:00:00,14:00:00,14,Sunday,761.0,259.0,157.0,345.0,False,False,False,True,False,False,False,False
2024-01-07 15:00:00,15:00:00,15,Sunday,955.0,347.0,590.0,18.0,False,False,False,True,False,False,False,False
2024-01-07 16:00:00,16:00:00,16,Sunday,533.0,40.0,495.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 17:00:00,17:00:00,17,Sunday,551.0,42.0,511.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 18:00:00,18:00:00,18,Sunday,584.0,82.0,504.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 19:00:00,19:00:00,19,Sunday,590.0,97.0,495.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 20:00:00,20:00:00,20,Sunday,593.0,95.0,500.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 21:00:00,21:00:00,21,Sunday,609.0,96.0,514.0,-1.0,False,False,False,True,False,False,False,False
2024-01-07 22:00:00,22:00:00,22,Sunday,634.0,93.0,543.0,-2.0,False,False,False,True,False,False,False,False
2024-01-07 23:00:00,23:00:00,23,Sunday,697.0,134.0,565.0,-2.0,False,False,False,True,False,False,False,False
2024-01-08 00:00:00,00:00:00,0,Monday,702.0,136.0,568.0,-2.0,False,True,False,False,False,False,False,False
2024-01-08 01:00:00,01:00:00,1,Monday,168.0,139.0,30.0,-1.0,False,True,False,False,False,False,False,False
2024-01-08 02:00:00,02:00:00,2,Monday,166.0,138.0,29.0,-1.0,False,True,False,False,False,False,False,False
2024-01-08 03:00:00,03:00:00,3,Monday,168.0,139.0,30.0,-1.0,False,True,False,False,False,False,False,False
2024-01-08 04:00:00,04:00:00,4,Monday,187.0,143.0,45.0,-1.0,False,True,False,False,False,False,False,False
2024-01-08 05:00:00,05:00:00,5,Monday,188.0,141.0,48.0,-1.0,False,True,False,False,False,False,False,False
2024-01-08 06:00:00,06:00:00,6,Monday,628.0,94.0,536.0,-2.0,False,True,False,False,False,False,False,False
2024-01-08 07:00:00,07:00:00,7,Monday,608.0,84.0,526.0,-2.0,False,True,False,False,False,False,False,False
2024-01-08 08:00:00,08:00:00,8,Monday,555.0,63.0,494.0,-2.0,False,True,False,False,False,False,False,False
2024-01-08 09:00:00,09:00:00,9,Monday,648.0,84.0,550.0,14.0,False,True,False,False,False,False,False,False
2024-01-08 10:00:00,10:00:00,10,Monday,650.0,67.0,570.0,13.0,False,True,False,False,False,False,False,False
2024-01-08 11:00:00,11:00:00,11,Monday,579.0,408.0,147.0,24.0,False,True,False,False,False,False,False,False
2024-01-08 12:00:00,12:00:00,12,Monday,140.0,70.0,49.0,21.0,False,True,False,False,False,False,False,False
2024-01-08 13:00:00,13:00:00,13,Monday,294.0,223.0,50.0,21.0,False,True,False,False,False,False,False,False
2024-01-08 14:00:00,14:00:00,14,Monday,374.0,58.0,118.0,198.0,False,True,False,False,False,False,False,False
2024-01-08 15:00:00,15:00:00,15,Monday,340.0,2.0,128.0,210.0,False,True,False,False,False,False,False,False
2024-01-08 16:00:00,16:00:00,16,Monday,127.0,2.0,120.0,5.0,False,True,False,False,False,False,False,False
2024-01-08 17:00:00,17:00:00,17,Monday,133.0,2.0,126.0,5.0,False,True,False,False,False,False,False,False
2024-01-08 18:00:00,18:00:00,18,Monday,236.0,1.0,230.0,5.0,False,True,False,False,False,False,False,False
2024-01-08 19:00:00,19:00:00,19,Monday,1210.0,2.0,229.0,979.0,False,True,False,False,False,False,False,False
2024-01-08 20:00:00,20:00:00,20,Monday,237.0,2.0,230.0,5.0,False,True,False,False,False,False,False,False
2024-01-08 21:00:00,21:00:00,21,Monday,240.0,2.0,233.0,5.0,False,True,False,False,False,False,False,False
2024-01-08 22:00:00,22:00:00,22,Monday,1345.0,3.0,246.0,1096.0,False,True,False,False,False,False,False,False
2024-01-08 23:00:00,23:00:00,23,Monday,280.0,2.0,246.0,32.0,False,True,False,False,False,False,False,False
2024-01-09 00:00:00,00:00:00,0,Tuesday,289.0,3.0,251.0,35.0,False,False,False,False,False,True,False,False
2024-01-09 01:00:00,01:00:00,1,Tuesday,294.0,3.0,256.0,35.0,False,False,False,False,False,True,False,False
2024-01-09 02:00:00,02:00:00,2,Tuesday,292.0,3.0,255.0,34.0,False,False,False,False,False,True,False,False
2024-01-09 03:00:00,03:00:00,3,Tuesday,1412.0,3.0,256.0,1153.0,False,False,False,False,False,True,False,False
2024-01-09 04:00:00,04:00:00,4,Tuesday,265.0,3.0,256.0,6.0,False,False,False,False,False,True,False,False
2024-01-09 05:00:00,05:00:00,5,Tuesday,269.0,3.0,260.0,6.0,False,False,False,False,False,True,False,False
2024-01-09 06:00:00,06:00:00,6,Tuesday,1286.0,3.0,247.0,1036.0,False,False,False,False,False,True,False,False
2024-01-09 07:00:00,07:00:00,7,Tuesday,155.0,2.0,148.0,5.0,False,False,False,False,False,True,False,False
2024-01-09 08:00:00,08:00:00,8,Tuesday,130.0,2.0,123.0,5.0,False,False,False,False,False,True,False,False
2024-01-09 09:00:00,09:00:00,9,Tuesday,834.0,467.0,169.0,198.0,False,False,False,False,False,True,False,False
2024-01-09 10:00:00,10:00:00,10,Tuesday,1412.0,1085.0,108.0,219.0,False,False,False,False,False,True,False,False
2024-01-09 11:00:00,11:00:00,11,Tuesday,5365.0,1160.0,167.0,4038.0,False,False,False,False,False,True,False,False
2024-01-09 12:00:00,12:00:00,12,Tuesday,1331.0,819.0,85.0,427.0,False,False,False,False,False,True,False,False
2024-01-09 13:00:00,13:00:00,13,Tuesday,1420.0,38.0,76.0,1306.0,False,False,False,False,False,True,False,False
2024-01-09 14:00:00,14:00:00,14,Tuesday,1289.0,758.0,129.0,402.0,False,False,False,False,False,True,False,False
2024-01-09 15:00:00,15:00:00,15,Tuesday,1065.0,790.0,96.0,179.0,False,False,False,False,False,True,False,False
2024-01-09 16:00:00,16:00:00,16,Tuesday,123.0,21.0,69.0,33.0,False,False,False,False,False,True,False,False
2024-01-09 17:00:00,17:00:00,17,Tuesday,97.0,21.0,72.0,4.0,False,False,False,False,False,True,False,False
2024-01-09 18:00:00,18:00:00,18,Tuesday,182.0,19.0,158.0,5.0,False,False,False,False,False,True,False,False
2024-01-09 19:00:00,19:00:00,19,Tuesday,184.0,20.0,158.0,6.0,False,False,False,False,False,True,False,False
2024-01-09 20:00:00,20:00:00,20,Tuesday,219.0,19.0,167.0,33.0,False,False,False,False,False,True,False,False
2024-01-09 21:00:00,21:00:00,21,Tuesday,192.0,21.0,165.0,6.0,False,False,False,False,False,True,False,False
2024-01-09 22:00:00,22:00:00,22,Tuesday,196.0,21.0,169.0,6.0,False,False,False,False,False,True,False,False
2024-01-09 23:00:00,23:00:00,23,Tuesday,201.0,23.0,172.0,6.0,False,False,False,False,False,True,False,False
2024-01-10 00:00:00,00:00:00,0,Wednesday,1313.0,23.0,178.0,1112.0,False,False,False,False,False,False,True,False
2024-01-10 01:00:00,01:00:00,1,Wednesday,207.0,23.0,178.0,6.0,False,False,False,False,False,False,True,False
2024-01-10 02:00:00,02:00:00,2,Wednesday,207.0,24.0,177.0,6.0,False,False,False,False,False,False,True,False
2024-01-10 03:00:00,03:00:00,3,Wednesday,1335.0,25.0,176.0,1134.0,False,False,False,False,False,False,True,False
2024-01-10 04:00:00,04:00:00,4,Wednesday,209.0,24.0,179.0,6.0,False,False,False,False,False,False,True,False
2024-01-10 05:00:00,05:00:00,5,Wednesday,205.0,23.0,176.0,6.0,False,False,False,False,False,False,True,False
2024-01-10 06:00:00,06:00:00,6,Wednesday,167.0,21.0,141.0,5.0,False,False,False,False,False,False,True,False
2024-01-10 07:00:00,07:00:00,7,Wednesday,118.0,21.0,92.0,5.0,False,False,False,False,False,False,True,False
2024-01-10 08:00:00,08:00:00,8,Wednesday,90.0,19.0,66.0,5.0,False,False,False,False,False,False,True,False
2024-01-10 09:00:00,09:00:00,9,Wednesday,1224.0,69.0,64.0,1091.0,False,False,False,False,False,False,True,False
2024-01-10 10:00:00,10:00:00,10,Wednesday,313.0,37.0,66.0,210.0,False,False,False,False,False,False,True,False
2024-01-10 11:00:00,11:00:00,11,Wednesday,1628.0,838.0,594.0,196.0,False,False,False,False,False,False,True,False
2024-01-10 12:00:00,12:00:00,12,Wednesday,1038.0,77.0,763.0,198.0,False,False,False,False,False,False,True,False
2024-01-10 13:00:00,13:00:00,13,Wednesday,1621.0,3.0,494.0,1124.0,False,False,False,False,False,False,True,False
2024-01-10 14:00:00,14:00:00,14,Wednesday,637.0,3.0,437.0,197.0,False,False,False,False,False,False,True,False
2024-01-10 15:00:00,15:00:00,15,Wednesday,504.0,2.0,305.0,197.0,False,False,False,False,False,False,True,False
2024-01-10 16:00:00,16:00:00,16,Wednesday,211.0,2.0,204.0,5.0,False,False,False,False,False,False,True,False
2024-01-10 17:00:00,17:00:00,17,Wednesday,1040.0,2.0,69.0,969.0,False,False,False,False,False,False,True,False
2024-01-10 18:00:00,18:00:00,18,Wednesday,187.0,2.0,155.0,30.0,False,False,False,False,False,False,True,False
2024-01-10 19:00:00,19:00:00,19,Wednesday,192.0,2.0,159.0,31.0,False,False,False,False,False,False,True,False
2024-01-10 20:00:00,20:00:00,20,Wednesday,192.0,2.0,157.0,33.0,False,False,False,False,False,False,True,False
2024-01-10 21:00:00,21:00:00,21,Wednesday,201.0,1.0,166.0,34.0,False,False,False,False,False,False,True,False
