Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/7 12:00:00,-20 W,72 W,-55 W,-37 W
2024/1/7 13:00:00,666 W,285 W,31 W,350 W
2024/1/7 14:00:00,761 W,259 W,157 W,345 W
2024/1/7 15:00:00,955 W,347 W,590 W,18 W
2024/1/7 16:00:00,533 W,40 W,495 W,-2 W
2024/1/7 17:00:00,551 W,42 W,511 W,-2 W
2024/1/7 18:00:00,584 W,82 W,504 W,-2 W
2024/1/7 19:00:00,590 W,97 W,495 W,-2 W
2024/1/7 20:00:00,593 W,95 W,500 W,-2 W
2024/1/7 21:00:00,609 W,96 W,514 W,-1 W
2024/1/7 22:00:00,634 W,93 W,543 W,-2 W
2024/1/7 23:00:00,697 W,134 W,565 W,-2 W
2024/1/8 0:00:00,702 W,136 W,568 W,-2 W
2024/1/8 1:00:00,168 W,139 W,30 W,-1 W
2024/1/8 2:00:00,166 W,138 W,29 W,-1 W
2024/1/8 3:00:00,168 W,139 W,30 W,-1 W
2024/1/8 4:00:00,187 W,143 W,45 W,-1 W
2024/1/8 5:00:00,188 W,141 W,48 W,-1 W
2024/1/8 6:00:00,628 W,94 W,536 W,-2 W
2024/1/8 7:00:00,608 W,84 W,526 W,-2 W
2024/1/8 8:00:00,555 W,63 W,494 W,-2 W
2024/1/8 9:00:00,648 W,84 W,550 W,14 W
2024/1/8 10:00:00,650 W,67 W,570 W,13 W
2024/1/8 11:00:00,579 W,408 W,147 W,24 W
2024/1/8 12:00:00,140 W,70 W,49 W,21 W
2024/1/8 13:00:00,294 W,223 W,50 W,21 W
2024/1/8 14:00:00,374 W,58 W,118 W,198 W
2024/1/8 15:00:00,340 W,2 W,128 W,210 W
2024/1/8 16:00:00,127 W,2 W,120 W,5 W
2024/1/8 17:00:00,133 W,2 W,126 W,5 W
2024/1/8 18:00:00,236 W,1 W,230 W,5 W
2024/1/8 19:00:00,"1,210 W",2 W,229 W,979 W
2024/1/8 20:00:00,237 W,2 W,230 W,5 W
2024/1/8 21:00:00,240 W,2 W,233 W,5 W
2024/1/8 22:00:00,"1,345 W",3 W,246 W,"1,096 W"
2024/1/8 23:00:00,280 W,2 W,246 W,32 W
2024/1/9 0:00:00,289 W,3 W,251 W,35 W
2024/1/9 1:00:00,294 W,3 W,256 W,35 W
2024/1/9 2:00:00,292 W,3 W,255 W,34 W
2024/1/9 3:00:00,"1,412 W",3 W,256 W,"1,153 W"
2024/1/9 4:00:00,265 W,3 W,256 W,6 W
2024/1/9 5:00:00,269 W,3 W,260 W,6 W
2024/1/9 6:00:00,"1,286 W",3 W,247 W,"1,036 W"
2024/1/9 7:00:00,155 W,2 W,148 W,5 W
2024/1/9 8:00:00,130 W,2 W,123 W,5 W
2024/1/9 9:00:00,834 W,467 W,169 W,198 W
2024/1/9 10:00:00,"1,412 W","1,085 W",108 W,219 W
2024/1/9 11:00:00,"5,365 W","1,160 W",167 W,"4,038 W"
2024/1/9 12:00:00,"1,331 W",819 W,85 W,427 W
2024/1/9 13:00:00,"1,420 W",38 W,76 W,"1,306 W"
2024/1/9 14:00:00,"1,289 W",758 W,129 W,402 W
2024/1/9 15:00:00,"1,065 W",790 W,96 W,179 W
2024/1/9 16:00:00,123 W,21 W,69 W,33 W
2024/1/9 17:00:00,97 W,21 W,72 W,4 W
2024/1/9 18:00:00,182 W,19 W,158 W,5 W
2024/1/9 19:00:00,184 W,20 W,158 W,6 W
2024/1/9 20:00:00,219 W,19 W,167 W,33 W
2024/1/9 21:00:00,192 W,21 W,165 W,6 W
2024/1/9 22:00:00,196 W,21 W,169 W,6 W
2024/1/9 23:00:00,201 W,23 W,172 W,6 W
2024/1/10 0:00:00,"1,313 W",23 W,178 W,"1,112 W"
2024/1/10 1:00:00,207 W,23 W,178 W,6 W
2024/1/10 2:00:00,207 W,24 W,177 W,6 W
