,Power
0,834
1,694
2,1561
3,990
4,2081
5,818
6,739
7,839
8,614
9,739
10,1819
11,2699
12,3524
13,2672
14,2280
15,821
16,741
17,776
18,1260
19,973
20,929
21,1812
22,715
23,959
24,732
25,1226
26,593
27,1148
28,655
29,667
30,826
31,843
32,568
33,631
34,552
35,753
36,478
37,827
38,611
39,1853
40,607
41,621
42,873
43,1044
44,647
45,759
46,949
47,826
48,914
49,672
50,1139
51,916
52,626
53,812
54,573
55,1128
56,448
57,455
58,1941
59,1476
60,901
61,2093
62,2619
63,1009
64,785
65,1144
66,921
67,849
68,1336
69,969
70,651
71,826
72,1006
73,924
74,835
75,1006
76,941
77,732
78,1001
79,607
80,930
81,595
82,467
83,500
84,1521
85,1688
86,756
87,2701
88,893
89,651
90,565
91,762
92,520
93,752
94,663
95,1052
96,615
97,786
98,821
99,1162
100,834
101,758
102,917
103,618
104,764
105,686
106,1330
107,1219
108,1327
109,2520
110,1195
111,1716
112,535
113,1148
114,705
115,661
116,687
117,956
118,672
119,795
120,989
121,988
122,606
123,992
124,813
125,683
126,766
127,515
128,959
129,1184
130,1610
131,2256
132,2363
133,1788
134,1831
135,524
136,667
137,671
138,830
139,727
140,797
141,527
142,596
143,692
144,929
145,1165
146,1151
147,918
148,1317
149,883
150,964
151,1266
152,945
153,1481
154,763
155,2130
156,1975
157,1120
158,1107
159,1548
160,1142
161,1312
162,1188
163,1055
164,787
165,844
166,816
167,1266
168,833
169,1147
170,748
171,783
172,948
173,829
174,1123
175,758
176,704
177,559
178,816
179,581
180,730
181,610
182,603
183,1151
184,765
185,1433
186,1345
187,1027
188,841
189,960
190,1067
191,840
192,935
193,1613
194,971
195,903
196,966
197,852
198,1065
199,659
200,815
201,709
202,1257
203,731
204,1927
205,743
206,626
207,892
208,589
209,866
210,1039
211,694
212,858
213,727
214,759
215,863
216,669
217,709
218,813
219,1036
220,1260
221,1023
222,1122
223,711
224,757
225,673
226,2764
227,2231
228,1408
229,2089
230,1964
231,1976
232,973
233,1551
234,808
235,809
236,637
237,651
238,748
239,662
240,1017
241,971
242,908
243,765
244,827
245,840
246,716
247,1149
248,834
249,737
250,900
251,872
252,1062
253,864
254,1027
255,1942
256,994
257,883
258,777
259,813
260,1133
261,996
262,1600
263,857
264,784
265,761
266,1795
267,779
268,1146
269,1082
270,1100
271,793
272,815
273,933
274,1427
275,1261
276,1290
277,2715
278,1715
279,665
280,727
281,951
282,903
283,918
284,721
285,795
286,772
287,875
288,1000
289,1212
290,1034
291,916
292,918
293,1027
294,897
295,781
296,873
297,1363
298,3357
299,2953
300,2233
301,3093
302,2857
303,1375
304,971
305,941
306,810
307,783
308,763
309,822
310,825
311,847
312,856
313,1137
314,1039
315,941
316,797
317,717
318,834
319,946
320,1479
321,1245
322,2739
323,2794
324,2136
325,1942
326,994
327,2082
328,711
329,741
330,906
331,973
332,1236
333,887
334,799
335,856
336,700
337,887
338,861
339,1060
340,840
341,1105
342,851
343,860
344,654
345,773
346,3386
347,2914
348,1299
349,1421
350,1878
351,1116
352,673
353,646
354,733
355,1027
356,883
357,795
358,707
359,1082
360,706
361,532
362,823
363,664
364,683
365,911
366,648
367,769
368,556
369,941
370,759
371,780
372,542
373,878
374,635
375,2789
376,1088
377,527
378,764
379,881
380,772
381,1025
382,1107
383,777
384,544
385,755
386,850
387,567
388,730
389,1111
390,627
391,586
392,748
393,664
394,1814
395,773
396,1444
397,1400
398,1261
399,764
400,518
401,865
402,724
403,738
404,525
405,560
406,636
407,679
408,872
409,708
410,973
411,786
412,683
413,519
414,538
415,788
416,410
417,1275
418,2321
419,1982
420,1593
421,4343
422,2671
423,1658
424,656
425,585
426,914
427,598
428,708
429,927
430,832
431,631
432,772
433,835
434,656
435,666
436,1005
437,697
438,1201
439,681
440,435
441,1280
442,1035
443,1882
444,1855
445,1146
446,1147
447,1475
448,636
449,660
450,913
451,820
452,686
453,965
454,783
455,730
456,544
457,693
458,1010
459,608
460,829
461,642
462,825
463,576
464,643
465,4692
466,1977
467,2273
468,1131
469,3042
470,2130
471,1394
472,521
473,681
474,847
475,541
476,702
477,626
478,738
479,593
480,780
481,546
482,804
483,764
484,752
485,1081
486,642
487,831
488,763
489,1222
490,1456
491,2557
492,2381
493,1332
494,2134
495,1934
496,811
497,1102
498,807
499,657
500,717
501,550
502,645
503,1100
504,674
505,1047
506,717
507,996
508,789
509,934
510,804
511,1016
512,547
513,1325
514,2813
515,1977
516,3950
517,2242
518,1780
519,1682
520,563
521,725
522,751
523,658
524,596
525,867
526,696
527,844
528,776
529,675
530,558
531,663
532,764
533,695
534,1171
535,485
536,1081
537,571
538,533
539,654
540,902
541,804
542,802
543,1527
544,991
545,854
546,741
547,663
548,618
549,702
550,661
551,787
552,502
553,789
554,702
555,531
556,560
557,787
558,774
559,745
560,414
561,415
562,528
563,1276
564,767
565,505
566,604
567,894
568,1547
569,1195
570,822
571,680
572,482
573,814
574,531
575,626
576,797
577,682
578,844
579,972
580,610
581,855
582,539
583,516
584,549
585,1277
586,2303
587,1079
588,990
589,1078
590,1029
591,561
592,570
593,768
594,679
595,719
596,623
597,535
598,1188
599,757
600,821
601,656
602,582
603,759
604,680
605,550
606,677
607,1235
608,481
609,634
610,2219
611,1146
612,2434
613,448
614,874
615,1337
616,479
617,622
618,749
619,672
620,744
621,520
622,635
623,600
624,1042
625,979
626,1095
627,1092
628,978
629,958
630,950
631,655
632,609
633,1126
634,2441
635,4768
636,4888
637,1060
638,833
639,632
640,1681
641,912
642,885
643,1008
644,971
645,908
646,992
647,1000
648,1283
649,563
650,621
651,713
652,680
653,522
654,723
655,593
656,680
657,1259
658,2182
659,881
660,628
661,724
662,519
663,975
664,638
665,748
666,625
667,597
668,614
669,853
670,781
671,895
672,545
673,732
674,622
675,818
676,845
677,896
678,774
679,559
680,654
681,1872
682,1473
683,1663
684,1427
685,1105
686,1642
687,617
688,856
689,555
690,777
691,736
692,635
693,746
694,669
695,801
696,696
697,889
698,822
699,995
700,777
701,851
702,699
703,717
704,584
705,585
706,438
707,474
708,821
709,553
710,481
711,1404
712,932
713,790
714,593
715,529
716,642
717,553
718,1428
719,672
720,715
721,758
722,686
723,563
724,749
725,754
726,1034
727,720
728,775
729,696
730,2175
731,2423
732,3313
733,2312
734,2761
735,510
736,556
737,528
738,657
739,654
740,734
741,532
742,676
743,605
744,720
745,773
746,1097
747,802
748,824
749,727
750,544
751,801
752,620
753,740
754,1392
755,1641
756,1630
757,2314
758,1365
759,1175
760,1292
761,601
762,950
763,576
764,624
765,914
766,1022
767,789
768,776
769,846
770,904
771,840
772,1016
773,611
774,607
775,507
776,1147
777,1263
778,561
779,1153
780,1864
781,1693
782,1244
783,979
784,564
785,644
786,1374
787,761
788,1041
789,750
790,1166
791,785
792,889
793,680
794,793
795,604
796,803
797,788
798,1062
799,620
800,627
801,1718
802,1802
803,1600
804,1781
805,931
806,1688
807,1534
808,486
809,592
810,662
811,780
812,828
813,746
814,719
815,666
816,597
817,832
818,624
819,716
820,598
821,781
822,773
823,605
824,458
825,1790
826,2048
827,1194
828,2076
829,2804
830,1863
831,1150
832,519
833,459
834,784
835,644
836,564
837,543
838,612
839,559
840,887
841,566
842,492
843,453
844,637
845,545
846,558
847,638
848,659
849,1541
850,1674
851,1109
852,2530
853,954
854,813
855,1376
856,2506
857,2469
858,633
859,1004
860,493
861,667
862,711
863,568
864,874
865,494
866,592
867,477
868,686
869,753
870,785
871,665
872,606
873,590
874,854
875,580
876,480
877,491
878,716
879,500
880,545
881,418
882,447
883,448
884,595
885,548
886,618
887,472
888,600
889,535
890,656
891,519
892,894
893,707
894,1011
895,1040
896,618
897,1278
898,1211
